filename,id,album,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Imagine_Dragons_Demons.txt,5dutmcNWUzaMvPMxK6hqfz,Night Visions (Expanded Edition / Super Deluxe),Demons,Imagine Dragons,44,"modern rock, pop, rock",0.488,0.706,3,-3.127,1,0.0363,0.197,0.00035,0.297,0.367,90.009,audio_features,spotify:track:5dutmcNWUzaMvPMxK6hqfz,https://api.spotify.com/v1/tracks/5dutmcNWUzaMvPMxK6hqfz,https://api.spotify.com/v1/audio-analysis/5dutmcNWUzaMvPMxK6hqfz,2.95845,4
The_Weeknd_Reminder.txt,37F0uwRSrdzkBiuj0D5UHI,Starboy,Reminder,The Weeknd,80,"canadian contemporary r&b, canadian pop, pop",0.705,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,audio_features,spotify:track:37F0uwRSrdzkBiuj0D5UHI,https://api.spotify.com/v1/tracks/37F0uwRSrdzkBiuj0D5UHI,https://api.spotify.com/v1/audio-analysis/37F0uwRSrdzkBiuj0D5UHI,3.648,4
Taylor_Swift_Shake_It_Off_(Taylor's_Version).txt,3pv7Q5v2dpdefwdWIvE7yH,1989 (Taylor's Version),Shake It Off (Taylor's Version),Taylor Swift,72,pop,0.632,0.805,7,-5.707,1,0.069,0.0112,2.51e-05,0.156,0.903,160.052,audio_features,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/tracks/3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/audio-analysis/3pv7Q5v2dpdefwdWIvE7yH,3.65348333333333,4
Rosa_Linn_SNAP.txt,0ApE8Ao0xAcvbSrIcRlMQz,SNAP PACK,SNAP,Rosa Linn,43,alt z,0.565,0.636,0,-8.198,1,0.0622,0.107,9.9e-06,0.447,0.526,170.027,audio_features,spotify:track:0ApE8Ao0xAcvbSrIcRlMQz,https://api.spotify.com/v1/tracks/0ApE8Ao0xAcvbSrIcRlMQz,https://api.spotify.com/v1/audio-analysis/0ApE8Ao0xAcvbSrIcRlMQz,2.99251666666667,4
Ed_Sheeran_Shape_of_You.txt,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),Shape of You,Ed Sheeran,86,"pop, singer-songwriter pop, uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,3.89521666666667,4
One_Direction_Night_Changes.txt,5O2P9iiztwhomNh8xkR9lJ,FOUR (Deluxe),Night Changes,One Direction,89,"boy band, pop, post-teen pop, talent show",0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,3.77666666666667,4
Oscar_Maydon_Fin_de_Semana.txt,6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,Fin de Semana,"Oscar Maydon, Junior H",76,corrido,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,audio_features,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,https://api.spotify.com/v1/tracks/6TBzRwnX2oYd8aOrOuyK1p,https://api.spotify.com/v1/audio-analysis/6TBzRwnX2oYd8aOrOuyK1p,3.74868333333333,4
Creepy_Nuts_オトノケ_-_Otonoke.txt,6KYOlIwDHbrbeBbJEtQ0Fj,オトノケ - Otonoke,オトノケ - Otonoke,Creepy Nuts,85,j-pop,0.517,0.842,1,-6.905,1,0.348,0.062,0.0575,0.158,0.643,169.745,audio_features,spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj,https://api.spotify.com/v1/tracks/6KYOlIwDHbrbeBbJEtQ0Fj,https://api.spotify.com/v1/audio-analysis/6KYOlIwDHbrbeBbJEtQ0Fj,3.09378333333333,4
James_Arthur_Car's_Outside.txt,0otRX6Z89qKkHkQ9OqJpKt,YOU,Car's Outside,James Arthur,80,"pop, talent show, uk pop",0.338,0.562,9,-7.181,1,0.029,0.039,0.0,0.107,0.259,149.907,audio_features,spotify:track:0otRX6Z89qKkHkQ9OqJpKt,https://api.spotify.com/v1/tracks/0otRX6Z89qKkHkQ9OqJpKt,https://api.spotify.com/v1/audio-analysis/0otRX6Z89qKkHkQ9OqJpKt,4.13955,4
Cigarettes_After_Sex_Apocalypse.txt,1WTlony1MLK4u5OaG8uTLg,Apocalypse,Apocalypse,Cigarettes After Sex,59,"ambient pop, dream pop, el paso indie, shoegaze",0.37,0.462,5,-9.026,1,0.0274,0.0201,0.429,0.109,0.18,94.472,audio_features,spotify:track:1WTlony1MLK4u5OaG8uTLg,https://api.spotify.com/v1/tracks/1WTlony1MLK4u5OaG8uTLg,https://api.spotify.com/v1/audio-analysis/1WTlony1MLK4u5OaG8uTLg,4.83578333333333,4
Shubh_Cheques.txt,4eBvRhTJ2AcxCsbfTUjoRp,Still Rollin,Cheques,Shubh,75,punjabi hip hop,0.742,0.627,4,-8.939,0,0.0533,0.262,1.23e-05,0.269,0.356,89.998,audio_features,spotify:track:4eBvRhTJ2AcxCsbfTUjoRp,https://api.spotify.com/v1/tracks/4eBvRhTJ2AcxCsbfTUjoRp,https://api.spotify.com/v1/audio-analysis/4eBvRhTJ2AcxCsbfTUjoRp,3.06261666666667,4
